t;p_eddy;flux;phi_imposed;fluxH;phiH_imposed;NI
0;0;0;0;0;0;0
2e-08;0;0;0;9.88131e-323;0;-6.30709e-319
4e-08;10521.6;8.86286e-09;8.86286e-09;1.61427e-05;1.61427e-05;0.0321987
6e-08;10147.5;2.64225e-08;2.64225e-08;1.91205e-05;1.91205e-05;0.0345244
8e-08;9721.16;4.36836e-08;4.36836e-08;2.20984e-05;2.20984e-05;0.0368658
1e-07;9247.96;6.07069e-08;6.07069e-08;2.50762e-05;2.50762e-05;0.0392316
1.2e-07;8736.53;7.75407e-08;7.75407e-08;2.8054e-05;2.8054e-05;0.0416289
1.4e-07;8197.24;9.42235e-08;9.42235e-08;3.10318e-05;3.10318e-05;0.0440632
1.6e-07;7640.92;1.10786e-07;1.10786e-07;3.40097e-05;3.40097e-05;0.0465386
1.8e-07;7078.03;1.27253e-07;1.27253e-07;3.69875e-05;3.69875e-05;0.0490583
2e-07;6518.1;1.43643e-07;1.43643e-07;3.99653e-05;3.99653e-05;0.051624
2.2e-07;5969.45;1.59972e-07;1.59972e-07;4.29431e-05;4.29431e-05;0.0542369
2.4e-07;5439.04;1.76253e-07;1.76253e-07;4.5921e-05;4.5921e-05;0.0568974
2.6e-07;4932.42;1.92496e-07;1.92496e-07;4.88988e-05;4.88988e-05;0.0596051
2.8e-07;4453.79;2.08707e-07;2.08707e-07;5.18766e-05;5.18766e-05;0.0623592
3e-07;4006.13;2.24894e-07;2.24894e-07;5.48544e-05;5.48544e-05;0.0651586
3.2e-07;3591.31;2.41062e-07;2.41062e-07;5.78323e-05;5.78323e-05;0.0680015
3.4e-07;3210.23;2.57213e-07;2.57213e-07;6.08101e-05;6.08101e-05;0.0708863
3.6e-07;2863.04;2.73353e-07;2.73353e-07;6.37879e-05;6.37879e-05;0.0738108
3.8e-07;2549.2;2.89482e-07;2.89482e-07;6.67657e-05;6.67657e-05;0.0767729
4e-07;2267.69;3.05604e-07;3.05604e-07;6.97436e-05;6.97436e-05;0.0797703
4.2e-07;2017.11;3.21719e-07;3.21719e-07;7.27214e-05;7.27214e-05;0.0828008
4.4e-07;1795.78;3.3783e-07;3.3783e-07;7.56992e-05;7.56992e-05;0.085862
4.6e-07;1601.83;3.53936e-07;3.53936e-07;7.86771e-05;7.86771e-05;0.0889515
4.8e-07;1433.32;3.7004e-07;3.7004e-07;8.16549e-05;8.16549e-05;0.0920672
5e-07;1288.24;3.8614e-07;3.8614e-07;8.46327e-05;8.46327e-05;0.0952068
5.2e-07;1164.6;4.02239e-07;4.02239e-07;8.76105e-05;8.76105e-05;0.0983683
5.4e-07;15866.6;4.0061e-07;4.0061e-07;5.83029e-05;5.83029e-05;0.0371521
5.6e-07;16107.8;3.81587e-07;3.81587e-07;5.53251e-05;5.53251e-05;0.0356998
5.8e-07;16134.3;3.6316e-07;3.6316e-07;5.23473e-05;5.23473e-05;0.0342323
6e-07;15941.7;3.45207e-07;3.45207e-07;4.93695e-05;4.93695e-05;0.0327303
6.2e-07;15544.7;3.27633e-07;3.27633e-07;4.63916e-05;4.63916e-05;0.031178
6.4e-07;14969.9;3.1036e-07;3.1036e-07;4.34138e-05;4.34138e-05;0.0295631
6.6e-07;14249.7;2.93327e-07;2.93327e-07;4.0436e-05;4.0436e-05;0.0278757
6.8e-07;13418.5;2.76486e-07;2.76486e-07;3.74582e-05;3.74582e-05;0.0261088
7e-07;12510;2.59797e-07;2.59797e-07;3.44803e-05;3.44803e-05;0.0242572
7.2e-07;11555;2.4323e-07;2.4323e-07;3.15025e-05;3.15025e-05;0.0223178
7.4e-07;10581;2.2676e-07;2.2676e-07;2.85247e-05;2.85247e-05;0.0202889
7.6e-07;9610.94;2.10366e-07;2.10366e-07;2.55469e-05;2.55469e-05;0.0181703
7.8e-07;8663.84;1.94035e-07;1.94035e-07;2.2569e-05;2.2569e-05;0.0159628
8e-07;7754.42;1.77752e-07;1.77752e-07;1.95912e-05;1.95912e-05;0.0136683
8.2e-07;6893.66;1.61508e-07;1.61508e-07;1.66134e-05;1.66134e-05;0.0112893
